mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4636405944824218,0.02768266198348848,0.016962051391601562,0.002786582405937634,0.01,3,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6280190040802244,0.6361829185079533,0.6218385192281921,0.6379495524691596,0.6350681670067808,0.6318116322584622,0.006020535500564563,13
1.4465370178222656,0.04491497766745558,0.01753964424133301,0.00209087727672482,0.01,3,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6270165072724725,0.6340513901874377,0.6156524123229244,0.631643611114106,0.6363701850038433,0.6289468211801568,0.007333526434154562,20
1.0727247238159179,0.5581685240171415,0.028865957260131837,0.003959838081698381,0.01,3,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.631085949641806,0.6434093363050635,0.6293815433383291,0.6426714610715171,0.6416630674799032,0.6376422715673238,0.006098255006037701,6
0.5324718475341796,0.10461066600822119,0.031157255172729492,0.00511932542711335,0.01,3,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.6303341347968129,0.6413409598154117,0.628040337076748,0.6421536160584324,0.6415576315740057,0.6366853358642821,0.006170736539100447,7
0.2945302963256836,0.029845103534083508,0.022467327117919923,0.001354511301319346,0.01,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.6304173103789263,0.6398656714348865,0.6330813164538244,0.6447242036323084,0.6408181949434479,0.6377813393686786,0.005255272295314195,5
0.2655942440032959,0.016592823014041982,0.021002864837646483,0.0004489519616559976,0.01,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6293964841373383,0.6364302888503133,0.6297416628031096,0.6390972984878988,0.6392691336924209,0.6347869735942162,0.004379079410778657,8
0.9003284931182861,0.037208477271979186,0.06631236076354981,0.020592687210024933,0.01,5,300,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.6314546947225093,0.641544817006018,0.63657846460956,0.6434545437742306,0.6419931511298266,0.6390051342484289,0.004428845020810399,2
0.8298844814300537,0.14080019431622465,0.06269989013671876,0.011466701814749363,0.01,5,300,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.63090827735668,0.6426749267207719,0.635783136612813,0.6423657137928219,0.6415722540719039,0.6386608617109981,0.0046194960383480616,4
0.40490379333496096,0.0218714050490291,0.034582328796386716,0.0042420715138575685,0.01,7,100,0.8,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.624654628798159,0.6352379514778298,0.6300114443439835,0.6365491991269645,0.6371540278517026,0.6327214503197278,0.0047549957820467855,11
0.4022390365600586,0.0272713540546738,0.033936691284179685,0.004277866106143524,0.01,7,100,1.0,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.6230170710180845,0.6330934077190021,0.6276899984443085,0.6331295274856792,0.6355941921285401,0.6305048393591228,0.004549311807994664,18
