K_Frac,Threshold,XGB_Uplift,EBM_Uplift,XEBM_Uplift
0.1,Top 10%,0.09277339540497437,0.10228671656262597,0.10770826465551206
0.2,Top 20%,0.08289148383686035,0.07851090103900527,0.09279664523224186
0.3,Top 30%,0.07338749904074898,0.08179950285213443,0.08232394873347197
