mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_interactions,param_learning_rate,param_max_bins,param_max_rounds,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17.856647205352782,2.4266932182864207,0.006038141250610351,0.0007362469396948323,5,0.01,128,5000,2,"{'interactions': 5, 'learning_rate': 0.01, 'max_bins': 128, 'max_rounds': 5000, 'min_samples_leaf': 2}",0.6583855689954977,0.6716637322826365,0.6586530180033979,0.6475488978381054,0.6711990962943354,0.6614900626827945,0.009053305115712527,31
17.71895303726196,3.670845914654981,0.0055329322814941405,0.00029991705550163277,5,0.01,128,5000,5,"{'interactions': 5, 'learning_rate': 0.01, 'max_bins': 128, 'max_rounds': 5000, 'min_samples_leaf': 5}",0.6584191134473361,0.6716601058554107,0.6586811228143976,0.6475488978381054,0.6712217614644964,0.6615062002839492,0.009053302014377157,29
20.31557321548462,4.188182946976355,0.009866809844970703,0.004930875936049255,5,0.01,128,8000,2,"{'interactions': 5, 'learning_rate': 0.01, 'max_bins': 128, 'max_rounds': 8000, 'min_samples_leaf': 2}",0.6583855689954977,0.6716637322826365,0.6586530180033979,0.6475488978381054,0.6711990962943354,0.6614900626827945,0.009053305115712527,31
22.301371622085572,4.170726446005065,0.008975744247436523,0.006447301545025303,5,0.01,128,8000,5,"{'interactions': 5, 'learning_rate': 0.01, 'max_bins': 128, 'max_rounds': 8000, 'min_samples_leaf': 5}",0.6584191134473361,0.6716601058554107,0.6586811228143976,0.6475488978381054,0.6712217614644964,0.6615062002839492,0.009053302014377157,29
22.427372789382936,4.982486967342471,0.012212181091308593,0.006205542753288906,5,0.01,256,5000,2,"{'interactions': 5, 'learning_rate': 0.01, 'max_bins': 256, 'max_rounds': 5000, 'min_samples_leaf': 2}",0.6576870284511349,0.6714679052124451,0.6573447843817033,0.6474854353616545,0.6706578520308899,0.6609286010875655,0.009053236939654956,43
24.003512716293336,4.571921318487874,0.009442138671875,0.005753859115869873,5,0.01,256,5000,5,"{'interactions': 5, 'learning_rate': 0.01, 'max_bins': 256, 'max_rounds': 5000, 'min_samples_leaf': 5}",0.6577341720050697,0.6714805977077354,0.6573620099110256,0.6474854353616545,0.6706315604335031,0.6609387550837976,0.009045829887199673,41
25.32407064437866,3.489803580437427,0.007079505920410156,0.000948353882362416,5,0.01,256,8000,2,"{'interactions': 5, 'learning_rate': 0.01, 'max_bins': 256, 'max_rounds': 8000, 'min_samples_leaf': 2}",0.6576870284511349,0.6714679052124451,0.6573447843817033,0.6474854353616545,0.6706578520308899,0.6609286010875655,0.009053236939654956,43
26.877443552017212,4.776710601541355,0.007293033599853516,0.00194969314858021,5,0.01,256,8000,5,"{'interactions': 5, 'learning_rate': 0.01, 'max_bins': 256, 'max_rounds': 8000, 'min_samples_leaf': 5}",0.6577341720050697,0.6714805977077354,0.6573620099110256,0.6474854353616545,0.6706315604335031,0.6609387550837976,0.009045829887199673,41
11.838688230514526,2.05193546920012,0.013477420806884766,0.009255697153517775,5,0.05,128,5000,2,"{'interactions': 5, 'learning_rate': 0.05, 'max_bins': 128, 'max_rounds': 5000, 'min_samples_leaf': 2}",0.6583157602714018,0.6713056225940922,0.6596792969082894,0.6489278467907026,0.6728001639145107,0.6622057380957994,0.008864163653370392,17
11.374029159545898,1.3430685354068628,0.007464551925659179,0.0020448940210744775,5,0.05,128,5000,5,"{'interactions': 5, 'learning_rate': 0.05, 'max_bins': 128, 'max_rounds': 5000, 'min_samples_leaf': 5}",0.6583157602714018,0.6713056225940922,0.6597155611805471,0.6489278467907026,0.6727484873265435,0.6622026556326575,0.008849776469157345,19
