mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11036691665649415,0.010452378316178842,0.01190028190612793,0.0010080440222073577,0.01,3,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6310976107284223,0.6525044106421134,0.6299833909633059,0.643330003064331,0.6269485246787438,0.6367727880153833,0.009646768571338544,19
0.12083706855773926,0.029880970439425492,0.01192007064819336,0.0021155777757092043,0.01,3,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6279009151289103,0.6514980770869636,0.6293057023754911,0.638164610784632,0.6186462728487581,0.633103115644951,0.011085818696732733,20
0.3060144901275635,0.03741636124809978,0.019077014923095704,0.002229675425689466,0.01,3,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.643044421920302,0.661050539703032,0.6473326721147692,0.6506775979271342,0.6560057261285894,0.6516221915587653,0.006340023504912607,4
0.2995445251464844,0.05962564104631472,0.017543506622314454,0.0019387576432845944,0.01,3,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.6366342584953592,0.6579780492360024,0.643245688631332,0.6469836284942894,0.6507913770813426,0.6471266003876651,0.007160386661771582,7
0.1677231788635254,0.012351764863526817,0.016542959213256835,0.001502980128422786,0.01,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.6347630220468643,0.6536431087910035,0.639707655569195,0.6477424583912806,0.6522084035198102,0.6456129296636307,0.00728164407575525,8
0.14853296279907227,0.010514396648851149,0.014903450012207031,0.0014068143543845787,0.01,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6311433943721475,0.6497845902227897,0.6287798704277553,0.6420321954209104,0.6513711521340617,0.640622240515533,0.009290489540191862,16
0.5254951000213623,0.06551127220903213,0.03820147514343262,0.004878607867453766,0.01,5,300,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.6464473705682793,0.663062300206525,0.6473340320249789,0.6464373978934084,0.6619634927571182,0.653048918690062,0.007741963764250196,3
0.4194880485534668,0.03973109090463933,0.037849807739257814,0.016116184369384442,0.01,5,300,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.6454292511246458,0.6668355977349336,0.6394347669204561,0.6448771275795231,0.6612436469528039,0.6515640780624725,0.010548791059712802,5
0.22583317756652832,0.020035873641380354,0.0206754207611084,0.002071629737789472,0.01,7,100,0.8,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.6353772481582283,0.6580038875299861,0.6391478258662175,0.642705350974693,0.6518172026828308,0.6454103030423911,0.008328797147585264,9
0.23926372528076173,0.04252842654616452,0.02343907356262207,0.006392330481031537,0.01,7,100,1.0,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.6340789872114043,0.6472388383103025,0.6285169544538871,0.6426323691267745,0.6456395839037401,0.6396213466012217,0.007174076796137711,18
0.6950148105621338,0.06711372238647752,0.05306453704833984,0.003080523159266883,0.01,7,300,0.8,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.633394045769138,0.6577155865655377,0.6401006696197873,0.6393395732057798,0.6506834908713761,0.6442466732063238,0.008739482217802273,11
0.6852388858795166,0.1249485845167107,0.05380702018737793,0.015676374160949733,0.01,7,300,1.0,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.6371134001925634,0.6498063487861441,0.6343251309593532,0.6367271856930193,0.6459600694098171,0.6407864270081794,0.005997374046266237,14
0.13981132507324218,0.022647599625928595,0.015900564193725587,0.003991562175271134,0.1,3,100,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6541508086026107,0.6638084376082262,0.6563556763558758,0.6422543140884884,0.6658111320436549,0.6564760737397711,0.008349690706886457,2
0.14938592910766602,0.04429497808900745,0.014060354232788086,0.0025717430535192477,0.1,3,100,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6532328692110889,0.6697535117414647,0.65228999813239,0.6422964713049879,0.6690785429740692,0.6573302786728001,0.0105883614423222,1
0.35070004463195803,0.03598958213654028,0.027444744110107423,0.008780136050152317,0.1,3,300,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.6349203183277818,0.646514459471956,0.6352716284652778,0.6318247093871882,0.6548670279796993,0.6406796287263806,0.008673560595253595,15
0.3287149429321289,0.009350019095028597,0.021306467056274415,0.0030117368583026673,0.1,3,300,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.6311157428645512,0.6534146438757804,0.6348051792633639,0.6330789999038997,0.6528394018570933,0.6410507935529377,0.009930745234595893,13
0.16546850204467772,0.010671954632598834,0.020149850845336915,0.0025860296311143913,0.1,5,100,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.6257708424371767,0.6539400225201131,0.6329402890625142,0.6356687222464992,0.6526281624711926,0.6401896077474991,0.011177507505853142,17
0.15233840942382812,0.025543186477813545,0.01868758201599121,0.005389748529284241,0.1,5,100,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.637429352664608,0.6502034425673655,0.6332780000979135,0.6347947532850897,0.6512963570725303,0.6414003811375014,0.007756296673722287,12
0.5025909423828125,0.03198611393410552,0.036132526397705075,0.002200163321939686,0.1,5,300,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.6037638688176215,0.631199603994147,0.6090765847033673,0.61791464115596,0.6178643244782024,0.6159638046298597,0.00933616145161313,28
0.3728602409362793,0.02525950953514998,0.03170390129089355,0.00419910371059346,0.1,5,300,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.611270119871552,0.6368065137885829,0.6091636189567857,0.6201875044197083,0.6272830625903207,0.6209421639253898,0.010244380519943998,27
0.2553124904632568,0.025338989425150837,0.02551131248474121,0.0019092193036934174,0.1,7,100,0.8,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.6150796816722182,0.6380227268194238,0.6176752969590595,0.6109269691953139,0.6238016924535863,0.6211012734199203,0.00943547769273148,26
0.22189455032348632,0.024928245651231036,0.02317647933959961,0.0017918262200094363,0.1,7,100,1.0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.611983166124818,0.6365263722853927,0.6189241478349323,0.6279820564380869,0.6257246054900482,0.6242280696346556,0.008314439644362718,24
0.684940242767334,0.07098444501914887,0.057180595397949216,0.007471783953186952,0.1,7,300,0.8,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.5899063837811669,0.6209599334187961,0.5954638835046518,0.5906266828888844,0.6004606469183529,0.5994835061023703,0.01138871098650152,34
0.5107852935791015,0.02363688208544569,0.04566960334777832,0.004602692719115009,0.1,7,300,1.0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.5915849662832929,0.6250446503852172,0.5994719921959286,0.6133136116132705,0.6012702467965049,0.6061370934548429,0.01173773656509554,30
0.12823591232299805,0.01040881134706124,0.01733107566833496,0.006757936827297698,0.2,3,100,0.8,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6364384314251678,0.6509187553376476,0.6383672374058715,0.637831886086668,0.6583139470577889,0.6443740514626287,0.008706430339852047,10
0.11745743751525879,0.020626110831337797,0.01854219436645508,0.005846909220615222,0.2,3,100,1.0,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6419478809879113,0.6588293530272508,0.6407448137557638,0.6369597303388715,0.6610142754307742,0.6478992107081144,0.009977463462579626,6
0.358473014831543,0.015188205120442862,0.027063274383544923,0.0051146550389317,0.2,3,300,0.8,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.616924626523326,0.640617888802862,0.6194735515596357,0.6266366519373281,0.6369760492613874,0.6281257536169079,0.009347988520718364,23
0.3484370231628418,0.06314322155972187,0.027713584899902343,0.008302826775919949,0.2,3,300,1.0,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.6209259356635546,0.648201654738743,0.6236085852038142,0.6223402422816029,0.641969639551266,0.6314092114877962,0.011371049521590789,21
0.1845627784729004,0.03203834626143591,0.018780326843261717,0.0028424246625954747,0.2,5,100,0.8,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.608289196691973,0.6294729713312796,0.625814812867289,0.617906481694702,0.6336111780992807,0.623018928136905,0.008997438538941041,25
0.1599480152130127,0.00747572782303218,0.019860219955444337,0.0007361855421268811,0.2,5,100,1.0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6200338345660164,0.6398091955315164,0.619599569905731,0.6219857590202844,0.6393082952709576,0.6281473308589012,0.009353333322182121,22
0.5177788734436035,0.0911465220002723,0.041573953628540036,0.00728515700144994,0.2,5,300,0.8,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.5907295827614154,0.6215782392607891,0.5999239356889396,0.5982603121991199,0.6007126836105434,0.6022409507041615,0.010295552072944743,33
0.4338923454284668,0.02306444238986198,0.03585672378540039,0.007409413244732309,0.2,5,300,1.0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.6006433281898508,0.6189912367386089,0.5912064579416036,0.6016433154973554,0.6082071487759901,0.6041382974286817,0.009196059751528854,32
0.2329503059387207,0.01865225852781659,0.02319645881652832,0.0023576402737045905,0.2,7,100,0.8,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.593904973100976,0.6198919506008083,0.6037198983875092,0.5986347408101801,0.60952172864533,0.6051346583089607,0.009026409750504411,31
0.22226452827453613,0.029567203219561307,0.021360349655151368,0.0016473699336348627,0.2,7,100,1.0,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.5999461475556973,0.6323777395391174,0.605932472298629,0.6103920711795137,0.6091622590465761,0.6115621379239067,0.011018549021555598,29
0.6999634742736817,0.02448740045429383,0.04273371696472168,0.012294383085665633,0.2,7,300,0.8,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.576839459879929,0.6082547456333283,0.5846544105514526,0.5722343506066107,0.5881915370067832,0.5860349007356207,0.012452225960258688,36
0.47969841957092285,0.07303487837692753,0.031213712692260743,0.010286053914052776,0.2,7,300,1.0,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.5807224568319169,0.6134758942316235,0.5846399048425496,0.5923374499326391,0.5877763110894332,0.5917904033856325,0.01149175165454853,35
